"parliament_id","snapshot_day","pers_id","parliament_size"
"NL_NT-TK_1909",1909-09-22,"NL_Ketelaar_Theo_1864",100
"NL_NT-TK_1909",1909-09-22,"NL_Koolen_Dionysius_1871",100
"NL_NT-TK_1909",1909-09-22,"NL_Kuyper_Abraham_1837",100
"NL_NT-TK_1909",1909-09-22,"NL_Lieftinck_Franciscus_1835",100
"NL_NT-TK_1909",1909-09-22,"NL_Limburg_Joseph_1866",100
"NL_NT-TK_1909",1909-09-22,"NL_Loeff_Jan_1858",100
"NL_NT-TK_1909",1909-09-22,"NL_Marchant_Henri_1869",100
"NL_NT-TK_1909",1909-09-22,"NL_Middelberg_Gerrit_1846",100
"NL_NT-TK_1909",1909-09-22,"NL_Nolens_Wilhelmus_1860",100
"NL_NT-TK_1909",1909-09-22,"NL_Oosterbaan_Nicolaas_1863",100
"NL_NT-TK_1909",1909-09-22,"NL_Passtoors_Willem_1856",100
"NL_NT-TK_1909",1909-09-22,"NL_Patijn_Rudolf_1863",100
"NL_NT-TK_1909",1909-09-22,"NL_Pollema_Hendrik_1851",100
"NL_NT-TK_1909",1909-09-22,"NL_Regout_Robert_1863",100
"NL_NT-TK_1909",1909-09-22,"NL_Rink_Pieter_1851",100
"NL_NT-TK_1909",1909-09-22,"NL_Roessingh_Petrus_1840",100
"NL_NT-TK_1909",1909-09-22,"NL_Roodhuyzen_Antonie_1859",100
"NL_NT-TK_1909",1909-09-22,"NL_Schaper_Jan_1868",100
"NL_NT-TK_1909",1909-09-22,"NL_Schimmelpenninck_Gerrit_1854",100
"NL_NT-TK_1909",1909-09-22,"NL_Smeenge_Harm_1852",100
"NL_NT-TK_1909",1909-09-22,"NL_Smidt_Eerke_1858",100
"NL_NT-TK_1909",1909-09-22,"NL_terLaan_Kornelis_1871",100
"NL_NT-TK_1909",1909-09-22,"NL_Thomson_Lodewijk_1869",100
"NL_NT-TK_1909",1909-09-22,"NL_Treub_Willem_1858",100
"NL_NT-TK_1909",1909-09-22,"NL_Troelstra_Pieter_1860",100
"NL_NT-TK_1909",1909-09-22,"NL_Tydeman_Map_1854",100
"NL_NT-TK_1909",1909-09-22,"NL_vanAsch_Hubert_1867",100
"NL_NT-TK_1909",1909-09-22,"NL_vandenBerch_Isaaec_1860",100
"NL_NT-TK_1909",1909-09-22,"NL_vandenHeuvel_Vincent_1854",100
"NL_NT-TK_1909",1909-09-22,"NL_vanderMolen_Jan_1867",100
"NL_NT-TK_1909",1909-09-22,"NL_vanderVoort_Coenraad_1871",100
"NL_NT-TK_1909",1909-09-22,"NL_vandeVelde_Henri_1855",100
"NL_NT-TK_1909",1909-09-22,"NL_vanDoorn_Willem_1853",100
"NL_NT-TK_1909",1909-09-22,"NL_vanForeest_Pieter_1845",100
"NL_NT-TK_1909",1909-09-22,"NL_vanHamel_Gerard_1842",100
"NL_NT-TK_1909",1909-09-22,"NL_vanHoogstraten_Jan_1859",100
"NL_NT-TK_1909",1909-09-22,"NL_vanIdsinga_Johan_1854",100
"NL_NT-TK_1909",1909-09-22,"NL_vanKarnebeek_Abraham_1836",100
"NL_NT-TK_1909",1909-09-22,"NL_vanNispen_Joseph_1861",100
"NL_NT-TK_1909",1909-09-22,"NL_vanNispen_Octaaf_1867",100
"NL_NT-TK_1909",1909-09-22,"NL_vanSasse_Alexander_1852",100
"NL_NT-TK_1909",1909-09-22,"NL_vanVeen_Rienk_1865",100
"NL_NT-TK_1909",1909-09-22,"NL_vanVliet_Pieter_1858",100
"NL_NT-TK_1909",1909-09-22,"NL_vanVlijmen_Bernardus_1843",100
"NL_NT-TK_1909",1909-09-22,"NL_vanVuuren_Adrianus_1865",100
"NL_NT-TK_1909",1909-09-22,"NL_vanWichen_Franciscus_1855",100
"NL_NT-TK_1909",1909-09-22,"NL_Verheij_Joor_1851",100
"NL_NT-TK_1909",1909-09-22,"NL_Vliegen_Willem_1862",100
"NL_NT-TK_1909",1909-09-22,"NL_Vorsterman_George_1836",100
"NL_NT-TK_1913",1913-09-17,"NL_Aalberse_Piet_1871",100
"NL_NT-TK_1913",1913-09-17,"NL_Albarda_Willem_1877",100
"NL_NT-TK_1913",1913-09-17,"NL_Ankerman_Jan_1869",100
"NL_NT-TK_1913",1913-09-17,"NL_Arts_Antoine_1845",100
"NL_NT-TK_1913",1913-09-17,"NL_barondeWijkerslooth_Jean_1873",100
"NL_NT-TK_1913",1913-09-17,"NL_baronvanWassenaer_Otto_1856",100
"NL_NT-TK_1913",1913-09-17,"NL_baronvanWijnbergen_Antonius_1869",100
"NL_NT-TK_1913",1913-09-17,"NL_Beckers_Jean_1860",100
"NL_NT-TK_1913",1913-09-17,"NL_Bichon_Cornelis_1855",100
"NL_NT-TK_1913",1913-09-17,"NL_Bogaardt_Willem_1862",100
"NL_NT-TK_1913",1913-09-17,"NL_Boissevain_Walrave_1876",100
"NL_NT-TK_1913",1913-09-17,"NL_Bongaerts_Max_1875",100
"NL_NT-TK_1913",1913-09-17,"NL_Bos_Dirk_1862",100
"NL_NT-TK_1913",1913-09-17,"NL_Brummelkamp_Anthony_1839",100
"NL_NT-TK_1913",1913-09-17,"NL_deBeaufort_Willem_1845",100
"NL_NT-TK_1913",1913-09-17,"NL_deGeer_Dirk_1870",100
"NL_NT-TK_1913",1913-09-17,"NL_deJong_Willem_1872",100
"NL_NT-TK_1913",1913-09-17,"NL_deMeester_Theodoor_1851",100
"NL_NT-TK_1913",1913-09-17,"NL_deMonte_Frederik_1861",100
"NL_NT-TK_1913",1913-09-17,"NL_deMuralt_Robert_1871",100
"NL_NT-TK_1913",1913-09-17,"NL_deSavornin_Alexander_1837",100
"NL_NT-TK_1913",1913-09-17,"NL_Dolk_Willem_1853",100
"NL_NT-TK_1913",1913-09-17,"NL_Drion_Frans_1874",100
"NL_NT-TK_1913",1913-09-17,"NL_Duijs_Jan_1877",100
"NL_NT-TK_1913",1913-09-17,"NL_Duymaer_Lodewijk_1865",100
"NL_NT-TK_1913",1913-09-17,"NL_Duynstee_Theodorus_1858",100
"NL_NT-TK_1913",1913-09-17,"NL_Eland_Kornelis_1838",100
"NL_NT-TK_1913",1913-09-17,"NL_Fleskens_Albertus_1874",100
"NL_NT-TK_1913",1913-09-17,"NL_Fock_Dirk_1858",100
"NL_NT-TK_1913",1913-09-17,"NL_Fruytier_Petrus_1852",100
"NL_NT-TK_1913",1913-09-17,"NL_Gerhard_Adriaan_1858",100
"NL_NT-TK_1913",1913-09-17,"NL_Gerretson_Bartholomeus_1856",100
