sep=,
"parliament_id","leg_period_start","leg_period_end","level","country_abb","region_abb","leg_period","assembly_name","assembly_abb","coalition_parties","previous_parliament","next_parliament","parliament_size","election_date","election_type"
"US_NT-HR_1907","04mar1907","03mar1909","NT","US",NA,60,"House of Representatives","HR",NA,"US_NT-HR_1905","US_NT-HR_1909",391,"06nov1906","regular"
"US_NT-SE_1907","04mar1907","03mar1909","NT","US",NA,60,"Senate","SE",NA,"US_NT-SE_1905","US_NT-SE_1909",92,"06nov1906","regular"
"US_NT-HR_1909","04mar1909","03mar1911","NT","US",NA,61,"House of Representatives","HR",NA,"US_NT-HR_1907","US_NT-HR_1911",391,"03nov1908","regular"
"US_NT-SE_1909","04mar1909","03mar1911","NT","US",NA,61,"Senate","SE",NA,"US_NT-SE_1907","US_NT-SE_1911",92,"03nov1908","regular"
"US_NT-HR_1911","04mar1911","03mar1913","NT","US",NA,62,"House of Representatives","HR",NA,"US_NT-HR_1909","US_NT-HR_1913",394,"08nov1910","regular"
"US_NT-SE_1911","04mar1911","03mar1913","NT","US",NA,62,"Senate","SE",NA,"US_NT-SE_1909","US_NT-SE_1913",96,"08nov1910","regular"
"US_NT-HR_1913","04mar1913","03mar1915","NT","US",NA,63,"House of Representatives","HR",NA,"US_NT-HR_1911","US_NT-HR_1915",435,"05nov1912","regular"
"US_NT-SE_1913","04mar1913","03mar1915","NT","US",NA,63,"Senate","SE",NA,"US_NT-SE_1911","US_NT-SE_1915",96,"05nov1912","regular"
"US_NT-HR_1915","04mar1915","03mar1917","NT","US",NA,64,"House of Representatives","HR",NA,"US_NT-HR_1913","US_NT-HR_1917",435,"03nov1914","regular"
"US_NT-SE_1915","04mar1915","03mar1917","NT","US",NA,64,"Senate","SE",NA,"US_NT-SE_1913","US_NT-SE_1917",96,"03nov1914","regular"
"US_NT-HR_1917","04mar1917","03mar1919","NT","US",NA,65,"House of Representatives","HR",NA,"US_NT-HR_1915","US_NT-HR_1919",435,"07nov1916","regular"
"US_NT-SE_1917","04mar1917","03mar1919","NT","US",NA,65,"Senate","SE",NA,"US_NT-SE_1915","US_NT-SE_1919",96,"07nov1916","regular"
